v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_current_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
1,1,1,496.0,1006.0,503974.02129833575,1022173.1157784794,0.49304174950298213,0.4930417495029821,8,0,1,30.0,45977,7057,38920,0.0312971859986273,0.019597964632979026,0,1016.0766558434188,30.0,8,10,True,"{0: 31, 1: 2, 2: 0, 3: 30, 4: 61, 5: 7, 6: 57, 7: 80}","{(2, 1): [(0, 47), (47, 2)], (4, 0): [(61, 41), (41, 54), (54, 31)], (5, 1): [(7, 32), (32, 5), (5, 2)], (5, 3): [(7, 10), (10, 30)], (5, 4): [(7, 69), (69, 9), (9, 61)], (6, 0): [(57, 81), (81, 68), (68, 31)], (6, 1): [(57, 60), (60, 74), (74, 2)], (7, 0): [(80, 74), (74, 55), (55, 31)], (7, 5): [(80, 28), (28, 1), (1, 7)], (7, 6): [(80, 73), (73, 81), (81, 57)]}","{(0, 31): {'cpu': 5}, (1, 2): {'cpu': 21}, (2, 0): {'cpu': 17}, (3, 30): {'cpu': 22}, (4, 61): {'cpu': 21}, (5, 7): {'cpu': 46}, (6, 57): {'cpu': 47}, (7, 80): {'cpu': 49}}","{((2, 1), (0, 47)): {'bw': 23}, ((2, 1), (47, 2)): {'bw': 23}, ((4, 0), (61, 41)): {'bw': 13}, ((4, 0), (41, 54)): {'bw': 13}, ((4, 0), (54, 31)): {'bw': 13}, ((5, 1), (7, 32)): {'bw': 18}, ((5, 1), (32, 5)): {'bw': 18}, ((5, 1), (5, 2)): {'bw': 18}, ((5, 3), (7, 10)): {'bw': 3}, ((5, 3), (10, 30)): {'bw': 3}, ((5, 4), (7, 69)): {'bw': 31}, ((5, 4), (69, 9)): {'bw': 31}, ((5, 4), (9, 61)): {'bw': 31}, ((6, 0), (57, 81)): {'bw': 16}, ((6, 0), (81, 68)): {'bw': 16}, ((6, 0), (68, 31)): {'bw': 16}, ((6, 1), (57, 60)): {'bw': 39}, ((6, 1), (60, 74)): {'bw': 39}, ((6, 1), (74, 2)): {'bw': 39}, ((7, 0), (80, 74)): {'bw': 48}, ((7, 0), (74, 55)): {'bw': 48}, ((7, 0), (55, 31)): {'bw': 48}, ((7, 5), (80, 28)): {'bw': 32}, ((7, 5), (28, 1)): {'bw': 32}, ((7, 5), (1, 7)): {'bw': 32}, ((7, 6), (80, 73)): {'bw': 45}, ((7, 6), (73, 81)): {'bw': 45}, ((7, 6), (81, 57)): {'bw': 45}}",1006.0,496.0,456.0,228.0,268,228.0,268,228.0,778,510,0.49304174950298213,1022173.1157784794,503974.02129833575,500.9682120261787,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,10.0
2,2,2,903.0,1796.0,603964.3162488305,1216257.4720705946,0.5027839643652561,0.49657603765477626,14,1,1,49.0,45187,6899,38288,0.05298558682223753,0.03551816212403647,1,245.67640036976593,49.0,8,11,True,"{0: 4, 1: 45, 2: 31, 3: 52, 4: 18, 5: 37, 6: 0, 7: 69}","{(1, 0): [(45, 92), (92, 4)], (2, 1): [(31, 78), (78, 45)], (4, 3): [(18, 52)], (5, 1): [(37, 65), (65, 45)], (6, 0): [(0, 47), (47, 51), (51, 4)], (6, 1): [(0, 30), (30, 97), (97, 45)], (6, 2): [(0, 30), (30, 68), (68, 31)], (6, 3): [(0, 47), (47, 52)], (7, 2): [(69, 81), (81, 68), (68, 31)], (7, 5): [(69, 67), (67, 37)], (7, 6): [(69, 91), (91, 34), (34, 0)]}","{(0, 4): {'cpu': 24}, (1, 45): {'cpu': 29}, (2, 31): {'cpu': 10}, (3, 52): {'cpu': 42}, (4, 18): {'cpu': 4}, (5, 37): {'cpu': 16}, (6, 0): {'cpu': 9}, (7, 69): {'cpu': 24}}","{((1, 0), (45, 92)): {'bw': 22}, ((1, 0), (92, 4)): {'bw': 22}, ((2, 1), (31, 78)): {'bw': 31}, ((2, 1), (78, 45)): {'bw': 31}, ((4, 3), (18, 52)): {'bw': 5}, ((5, 1), (37, 65)): {'bw': 32}, ((5, 1), (65, 45)): {'bw': 32}, ((6, 0), (0, 47)): {'bw': 47}, ((6, 0), (47, 51)): {'bw': 47}, ((6, 0), (51, 4)): {'bw': 47}, ((6, 1), (0, 30)): {'bw': 21}, ((6, 1), (30, 97)): {'bw': 21}, ((6, 1), (97, 45)): {'bw': 21}, ((6, 2), (0, 30)): {'bw': 28}, ((6, 2), (30, 68)): {'bw': 28}, ((6, 2), (68, 31)): {'bw': 28}, ((6, 3), (0, 47)): {'bw': 18}, ((6, 3), (47, 52)): {'bw': 18}, ((7, 2), (69, 81)): {'bw': 11}, ((7, 2), (81, 68)): {'bw': 11}, ((7, 2), (68, 31)): {'bw': 11}, ((7, 5), (69, 67)): {'bw': 2}, ((7, 5), (67, 37)): {'bw': 2}, ((7, 6), (69, 91)): {'bw': 32}, ((7, 6), (91, 34)): {'bw': 32}, ((7, 6), (34, 0)): {'bw': 32}}",790.0,407.0,316.0,158.0,249,158.0,249,158.0,632,383,0.5151898734177215,194084.3562921151,99990.29495049473,126.56999360822117,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,11.0
3,3,3,1384.0,2618.0,798932.4762915969,1549446.3027465902,0.5286478227654698,0.5156245007493242,22,2,1,74.0,44365,6713,37652,0.07851750171585448,0.051539120358708224,2,405.3392100681213,74.0,8,13,True,"{0: 49, 1: 71, 2: 96, 3: 29, 4: 36, 5: 47, 6: 74, 7: 17}","{(1, 0): [(71, 29), (29, 49)], (2, 0): [(96, 79), (79, 7), (7, 49)], (3, 1): [(29, 71)], (4, 0): [(36, 11), (11, 7), (7, 49)], (4, 1): [(36, 71)], (4, 2): [(36, 76), (76, 96)], (4, 3): [(36, 65), (65, 29)], (5, 1): [(47, 19), (19, 71)], (5, 2): [(47, 52), (52, 20), (20, 96)], (5, 3): [(47, 19), (19, 29)], (6, 3): [(74, 60), (60, 29)], (7, 4): [(17, 75), (75, 36)], (7, 6): [(17, 18), (18, 74)]}","{(0, 49): {'cpu': 25}, (1, 71): {'cpu': 18}, (2, 96): {'cpu': 48}, (3, 29): {'cpu': 34}, (4, 36): {'cpu': 2}, (5, 47): {'cpu': 12}, (6, 74): {'cpu': 14}, (7, 17): {'cpu': 33}}","{((1, 0), (71, 29)): {'bw': 24}, ((1, 0), (29, 49)): {'bw': 24}, ((2, 0), (96, 79)): {'bw': 2}, ((2, 0), (79, 7)): {'bw': 2}, ((2, 0), (7, 49)): {'bw': 2}, ((3, 1), (29, 71)): {'bw': 19}, ((4, 0), (36, 11)): {'bw': 40}, ((4, 0), (11, 7)): {'bw': 40}, ((4, 0), (7, 49)): {'bw': 40}, ((4, 1), (36, 71)): {'bw': 5}, ((4, 2), (36, 76)): {'bw': 32}, ((4, 2), (76, 96)): {'bw': 32}, ((4, 3), (36, 65)): {'bw': 35}, ((4, 3), (65, 29)): {'bw': 35}, ((5, 1), (47, 19)): {'bw': 30}, ((5, 1), (19, 71)): {'bw': 30}, ((5, 2), (47, 52)): {'bw': 28}, ((5, 2), (52, 20)): {'bw': 28}, ((5, 2), (20, 96)): {'bw': 28}, ((5, 3), (47, 19)): {'bw': 36}, ((5, 3), (19, 29)): {'bw': 36}, ((6, 3), (74, 60)): {'bw': 3}, ((6, 3), (60, 29)): {'bw': 3}, ((7, 4), (17, 75)): {'bw': 1}, ((7, 4), (75, 36)): {'bw': 1}, ((7, 6), (17, 18)): {'bw': 40}, ((7, 6), (18, 74)): {'bw': 40}}",822.0,481.0,372.0,186.0,295,186.0,295,186.0,636,341,0.5851581508515815,333188.83067599573,194968.16004276634,237.18754263110262,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,13.0
4,3,3,1384.0,2618.0,798932.4762915969,1549446.3027465902,0.5286478227654698,0.5156245007493242,22,3,1,109.0,44365,6713,37652,0.07851750171585448,0.051539120358708224,3,55.98853660415564,109.0,8,14,False,"{0: 90, 1: 77, 2: 36, 3: 5, 4: 18, 5: 46, 6: 23}","{(3, 0): [(5, 32), (32, 90)], (3, 2): [(5, 44), (44, 36)], (4, 0): [(18, 24), (24, 90)], (4, 3): [(18, 50), (50, 5)], (5, 0): [(46, 32), (32, 90)], (5, 1): [(46, 77)], (6, 0): [(23, 12), (12, 25), (25, 24), (24, 90)], (6, 1): [(23, 12), (12, 64), (64, 77)], (6, 2): []}","{(0, 90): {'cpu': 50}, (1, 77): {'cpu': 42}, (2, 36): {'cpu': 27}, (3, 5): {'cpu': 12}, (4, 18): {'cpu': 44}, (5, 46): {'cpu': 44}, (6, 23): {'cpu': 19}}","{((3, 0), (5, 32)): {'bw': 43}, ((3, 0), (32, 90)): {'bw': 43}, ((3, 2), (5, 44)): {'bw': 33}, ((3, 2), (44, 36)): {'bw': 33}, ((4, 0), (18, 24)): {'bw': 2}, ((4, 0), (24, 90)): {'bw': 2}, ((4, 3), (18, 50)): {'bw': 18}, ((4, 3), (50, 5)): {'bw': 18}, ((5, 0), (46, 32)): {'bw': 31}, ((5, 0), (32, 90)): {'bw': 31}, ((5, 1), (46, 77)): {'bw': 28}, ((6, 0), (23, 12)): {'bw': 14}, ((6, 0), (12, 25)): {'bw': 14}, ((6, 0), (25, 24)): {'bw': 14}, ((6, 0), (24, 90)): {'bw': 14}, ((6, 1), (23, 12)): {'bw': 35}, ((6, 1), (12, 64)): {'bw': 35}, ((6, 1), (64, 77)): {'bw': 35}}",0.0,0.0,512.0,256.0,326,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,[],7.0,9.0
5,4,4,1824.0,3247.0,1066792.2248141735,1932363.9887027282,0.561749307052664,0.5520658794362822,28,4,1,141.0,43736,6486,37250,0.10967741935483866,0.06166557509194415,4,608.7721557331288,141.0,8,10,True,"{0: 46, 1: 90, 2: 40, 3: 77, 4: 18, 5: 36, 6: 23, 7: 94}","{(2, 0): [(40, 5), (5, 46)], (3, 0): [(77, 46)], (4, 0): [(18, 39), (39, 46)], (4, 1): [(18, 24), (24, 90)], (4, 3): [(18, 33), (33, 77)], (5, 0): [(36, 77), (77, 46)], (5, 1): [(36, 44), (44, 90)], (6, 5): [(23, 12), (12, 65), (65, 36)], (7, 0): [(94, 51), (51, 46)], (7, 4): [(94, 18)]}","{(0, 46): {'cpu': 24}, (1, 90): {'cpu': 46}, (2, 40): {'cpu': 0}, (3, 77): {'cpu': 34}, (4, 18): {'cpu': 50}, (5, 36): {'cpu': 40}, (6, 23): {'cpu': 19}, (7, 94): {'cpu': 14}}","{((2, 0), (40, 5)): {'bw': 19}, ((2, 0), (5, 46)): {'bw': 19}, ((3, 0), (77, 46)): {'bw': 38}, ((4, 0), (18, 39)): {'bw': 49}, ((4, 0), (39, 46)): {'bw': 49}, ((4, 1), (18, 24)): {'bw': 8}, ((4, 1), (24, 90)): {'bw': 8}, ((4, 3), (18, 33)): {'bw': 10}, ((4, 3), (33, 77)): {'bw': 10}, ((5, 0), (36, 77)): {'bw': 16}, ((5, 0), (77, 46)): {'bw': 16}, ((5, 1), (36, 44)): {'bw': 33}, ((5, 1), (44, 90)): {'bw': 33}, ((6, 5), (23, 12)): {'bw': 24}, ((6, 5), (12, 65)): {'bw': 24}, ((6, 5), (65, 36)): {'bw': 24}, ((7, 0), (94, 51)): {'bw': 6}, ((7, 0), (51, 46)): {'bw': 6}, ((7, 4), (94, 18)): {'bw': 10}}",629.0,440.0,454.0,227.0,213,227.0,213,227.0,402,189,0.699523052464229,382917.685956138,267859.74852257664,425.8501566336672,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,10.0
5,4,4,1824.0,3247.0,1066792.2248141735,1932363.9887027282,0.561749307052664,0.5520658794362822,28,5,0,164.98853660415563,43736,6486,37250,0.10967741935483866,0.06166557509194415,3,55.98853660415564,109.0,8,14,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
6,5,5,2371.0,4202.0,2425636.3336231075,4304751.783789624,0.5642551166111376,0.5634787916825565,34,6,1,166.0,42781,6282,36499,0.1376801647220316,0.08058340470552672,5,2484.175701661671,166.0,8,12,True,"{0: 81, 1: 58, 2: 97, 3: 48, 4: 32, 5: 40, 6: 5, 7: 0}","{(2, 0): [(97, 3), (3, 81)], (2, 1): [(97, 3), (3, 58)], (3, 0): [(48, 11), (11, 64), (64, 81)], (3, 2): [(48, 55), (55, 74), (74, 97)], (4, 0): [(32, 5), (5, 81)], (4, 1): [(32, 33), (33, 58)], (5, 1): [(40, 43), (43, 58)], (5, 3): [(40, 54), (54, 48)], (6, 1): [(5, 41), (41, 58)], (6, 2): [(5, 44), (44, 97)], (6, 4): [(5, 32)], (7, 0): [(0, 27), (27, 3), (3, 81)]}","{(0, 81): {'cpu': 18}, (1, 58): {'cpu': 30}, (2, 97): {'cpu': 8}, (3, 48): {'cpu': 18}, (4, 32): {'cpu': 22}, (5, 40): {'cpu': 42}, (6, 5): {'cpu': 42}, (7, 0): {'cpu': 24}}","{((2, 0), (97, 3)): {'bw': 48}, ((2, 0), (3, 81)): {'bw': 48}, ((2, 1), (97, 3)): {'bw': 2}, ((2, 1), (3, 58)): {'bw': 2}, ((3, 0), (48, 11)): {'bw': 33}, ((3, 0), (11, 64)): {'bw': 33}, ((3, 0), (64, 81)): {'bw': 33}, ((3, 2), (48, 55)): {'bw': 23}, ((3, 2), (55, 74)): {'bw': 23}, ((3, 2), (74, 97)): {'bw': 23}, ((4, 0), (32, 5)): {'bw': 31}, ((4, 0), (5, 81)): {'bw': 31}, ((4, 1), (32, 33)): {'bw': 44}, ((4, 1), (33, 58)): {'bw': 44}, ((5, 1), (40, 43)): {'bw': 30}, ((5, 1), (43, 58)): {'bw': 30}, ((5, 3), (40, 54)): {'bw': 45}, ((5, 3), (54, 48)): {'bw': 45}, ((6, 1), (5, 41)): {'bw': 6}, ((6, 1), (41, 58)): {'bw': 6}, ((6, 2), (5, 44)): {'bw': 16}, ((6, 2), (44, 97)): {'bw': 16}, ((6, 4), (5, 32)): {'bw': 28}, ((7, 0), (0, 27)): {'bw': 37}, ((7, 0), (27, 3)): {'bw': 37}, ((7, 0), (3, 81)): {'bw': 37}}",955.0,547.0,408.0,204.0,343,204.0,343,204.0,751,408,0.5727748691099477,2372387.795086896,1358844.1088089342,1422.8734123653762,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,12.0
7,6,6,3025.0,5394.0,2451846.258951454,4352522.779189302,0.560808305524657,0.5633161233927266,40,7,1,189.0,41589,6069,35520,0.16691832532601236,0.10524459670512365,6,40.07633842254813,189.0,8,17,True,"{0: 76, 1: 8, 2: 42, 3: 28, 4: 31, 5: 37, 6: 9, 7: 41}","{(1, 0): [(8, 72), (72, 76)], (2, 0): [(42, 32), (32, 76)], (3, 0): [(28, 32), (32, 76)], (3, 1): [(28, 16), (16, 8)], (4, 0): [(31, 54), (54, 36), (36, 76)], (4, 2): [(31, 68), (68, 42)], (5, 0): [(37, 12), (12, 76)], (5, 1): [(37, 39), (39, 9), (9, 8)], (5, 3): [(37, 39), (39, 28)], (6, 0): [(9, 38), (38, 76)], (6, 1): [(9, 8)], (6, 4): [(9, 24), (24, 65), (65, 55), (55, 31)], (7, 0): [(41, 33), (33, 32), (32, 76)], (7, 1): [(41, 39), (39, 24), (24, 8)], (7, 3): [(41, 43), (43, 28)], (7, 4): [(41, 54), (54, 31)], (7, 6): [(41, 43), (43, 9)]}","{(0, 76): {'cpu': 6}, (1, 8): {'cpu': 35}, (2, 42): {'cpu': 27}, (3, 28): {'cpu': 24}, (4, 31): {'cpu': 40}, (5, 37): {'cpu': 0}, (6, 9): {'cpu': 32}, (7, 41): {'cpu': 49}}","{((1, 0), (8, 72)): {'bw': 41}, ((1, 0), (72, 76)): {'bw': 41}, ((2, 0), (42, 32)): {'bw': 15}, ((2, 0), (32, 76)): {'bw': 15}, ((3, 0), (28, 32)): {'bw': 29}, ((3, 0), (32, 76)): {'bw': 29}, ((3, 1), (28, 16)): {'bw': 24}, ((3, 1), (16, 8)): {'bw': 24}, ((4, 0), (31, 54)): {'bw': 3}, ((4, 0), (54, 36)): {'bw': 3}, ((4, 0), (36, 76)): {'bw': 3}, ((4, 2), (31, 68)): {'bw': 20}, ((4, 2), (68, 42)): {'bw': 20}, ((5, 0), (37, 12)): {'bw': 50}, ((5, 0), (12, 76)): {'bw': 50}, ((5, 1), (37, 39)): {'bw': 14}, ((5, 1), (39, 9)): {'bw': 14}, ((5, 1), (9, 8)): {'bw': 14}, ((5, 3), (37, 39)): {'bw': 7}, ((5, 3), (39, 28)): {'bw': 7}, ((6, 0), (9, 38)): {'bw': 10}, ((6, 0), (38, 76)): {'bw': 10}, ((6, 1), (9, 8)): {'bw': 33}, ((6, 4), (9, 24)): {'bw': 14}, ((6, 4), (24, 65)): {'bw': 14}, ((6, 4), (65, 55)): {'bw': 14}, ((6, 4), (55, 31)): {'bw': 14}, ((7, 0), (41, 33)): {'bw': 35}, ((7, 0), (33, 32)): {'bw': 35}, ((7, 0), (32, 76)): {'bw': 35}, ((7, 1), (41, 39)): {'bw': 50}, ((7, 1), (39, 24)): {'bw': 50}, ((7, 1), (24, 8)): {'bw': 50}, ((7, 3), (41, 43)): {'bw': 36}, ((7, 3), (43, 28)): {'bw': 36}, ((7, 4), (41, 54)): {'bw': 36}, ((7, 4), (54, 31)): {'bw': 36}, ((7, 6), (41, 43)): {'bw': 24}, ((7, 6), (43, 9)): {'bw': 24}}",1192.0,654.0,426.0,213.0,441,213.0,441,213.0,979,538,0.5486577181208053,47770.99539967738,26209.92532834648,21.988192389552413,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,17.0
8,6,6,3025.0,5394.0,2451846.258951454,4352522.779189302,0.560808305524657,0.5633161233927266,40,8,1,208.0,41589,6069,35520,0.16691832532601236,0.10524459670512365,7,135.84991189397897,208.0,8,17,False,"{0: 11, 1: 21, 2: 47, 3: 82, 4: 37, 5: 50, 6: 53, 7: 1}","{(2, 1): [(47, 41), (41, 61), (61, 21)], (4, 1): [(37, 65), (65, 21)], (4, 3): [(37, 68), (68, 82)], (5, 0): [(50, 7), (7, 11)], (5, 1): [(50, 41), (41, 61), (61, 21)], (5, 3): [(50, 18), (18, 82)], (5, 4): [(50, 34), (34, 12), (12, 37)], (6, 3): [(53, 26), (26, 82)], (6, 4): [(53, 30), (30, 67), (67, 37)], (6, 5): [(53, 78), (78, 50)], (7, 0): [(1, 70), (70, 11)], (7, 1): []}","{(0, 11): {'cpu': 28}, (1, 21): {'cpu': 11}, (2, 47): {'cpu': 15}, (3, 82): {'cpu': 7}, (4, 37): {'cpu': 45}, (5, 50): {'cpu': 31}, (6, 53): {'cpu': 34}, (7, 1): {'cpu': 17}}","{((2, 1), (47, 41)): {'bw': 24}, ((2, 1), (41, 61)): {'bw': 24}, ((2, 1), (61, 21)): {'bw': 24}, ((4, 1), (37, 65)): {'bw': 33}, ((4, 1), (65, 21)): {'bw': 33}, ((4, 3), (37, 68)): {'bw': 15}, ((4, 3), (68, 82)): {'bw': 15}, ((5, 0), (50, 7)): {'bw': 41}, ((5, 0), (7, 11)): {'bw': 41}, ((5, 1), (50, 41)): {'bw': 10}, ((5, 1), (41, 61)): {'bw': 10}, ((5, 1), (61, 21)): {'bw': 10}, ((5, 3), (50, 18)): {'bw': 42}, ((5, 3), (18, 82)): {'bw': 42}, ((5, 4), (50, 34)): {'bw': 9}, ((5, 4), (34, 12)): {'bw': 9}, ((5, 4), (12, 37)): {'bw': 9}, ((6, 3), (53, 26)): {'bw': 14}, ((6, 3), (26, 82)): {'bw': 14}, ((6, 4), (53, 30)): {'bw': 23}, ((6, 4), (30, 67)): {'bw': 23}, ((6, 4), (67, 37)): {'bw': 23}, ((6, 5), (53, 78)): {'bw': 40}, ((6, 5), (78, 50)): {'bw': 40}, ((7, 0), (1, 70)): {'bw': 45}, ((7, 0), (70, 11)): {'bw': 45}}",0.0,0.0,376.0,188.0,491,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,[],8.0,12.0
8,6,5,3025.0,5394.0,2451846.258951454,4352522.779189302,0.560808305524657,0.5633161233927266,40,9,0,229.07633842254813,42781,6282,36499,0.1376801647220316,0.08058340470552672,6,40.07633842254813,189.0,8,17,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
