acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,long_term_weighted_avg_time_revenue,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,avg_reward,solver_name,seed,p_net_dataset_dir,v_nets_dataset_dir,run_id,start_run_time,clock_running_time
0.78,0.46395720416485214,0.5871409304804567,8261.13413457867,780,0,0,220,722665.0,423220.0,204776992.92793605,348769745.553878,0.5856378820061854,24788.0,17.073583992254317,29.153824431176375,25.33471812683299,28741,2883,25543,21,0,nrm_rank,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231001T212951,20231001T212952,27.396549701690674
0.425,0.23157860747931486,0.5361041170373222,4978.780870741362,425,0,0,575,419769.0,225818.0,120441688.0441043,224661001.87721455,0.5379577815417528,24191.0,9.334793931627464,17.352279773469473,14.313574802368827,29867,4161,25706,16,0,d_rounding,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231001T214435,20231001T214435,5944.379661798477
0.55,0.2894248415505598,0.5217084301608947,5923.101713881032,550,0,0,450,565555.0,293609.0,142373595.89655837,272898783.43091065,0.5191519834498856,24037.0,12.214877064525524,23.528518533926864,18.137978778406556,25809,4231,21578,16,0.2894248415505598,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T044444,217.30670499801636
0.568,0.30457412837581976,0.5297613380415886,6043.759718409852,568,0,0,432,589168.0,310413.0,149329215.12247062,281880168.293345,0.526866700160226,24708.0,12.563258863525984,23.845232313420755,18.607018581935836,26202,3923,22013,16,0.30457412837581976,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T044822,226.08538961410522
0.586,0.3234190845416232,0.5390054042392382,6321.575651793582,586,0,0,414,581260.0,315095.0,156667609.37840036,290660553.9503334,0.5420895984585211,24783.0,12.71415889924545,23.45398055118428,19.035734551039035,26076,3872,21909,17,0.3234190845416232,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T045209,210.88920211791992
0.587,0.3287005947875251,0.550954051759831,6429.012174809378,587,0,0,413,569493.0,314043.0,155485659.4477648,282211663.479232,0.5514431257276209,24185.0,12.985032044655778,23.547364068637584,19.414044219465154,24924,3911,21013,18,0.3287005947875251,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T045540,211.04220008850098
0.597,0.34095418015532464,0.5624592052563169,6631.233287285192,597,0,0,403,568077.0,319031.0,158201332.53476283,281267212.0152595,0.5615981636292263,23857.0,13.372636961897975,23.811753363792597,20.003870249183166,26035,4148,21746,17,0.34095418015532464,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T045912,210.39653658866882
0.613,0.3568310706141774,0.5718440854726758,6246.179492283885,613,0,0,387,573890.0,328710.0,155661039.1272067,272208881.89923334,0.5727752705222255,24921.0,13.190080654869387,23.028369648087956,19.436260147153273,26428,4060,22368,17,0.3568310706141774,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T050243,210.84102725982666
0.602,0.3489728370863226,0.5730644665692808,6411.663946175276,602,0,0,398,565502.0,322729.0,158855385.93043864,277203343.07489955,0.5706947101867014,24776.0,13.025871811430417,22.82458831126897,19.437535757605694,26408,3894,22204,17,0.3489728370863226,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T050614,211.2419445514679
0.597,0.3518824682645318,0.577785622883814,6090.479728990203,597,0,0,403,554292.0,321757.0,147657590.54963848,255557744.43236834,0.5804828501944823,24244.0,13.271613595116317,22.863058901171424,19.36209332410652,26167,4032,21795,18,0.3518824682645318,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T050946,210.4162573814392
0.567,0.338068996036879,0.5842920171343234,6418.241390540817,567,0,0,433,518577.0,303987.0,159705100.52082714,273330964.37652063,0.5861945284885369,24883.0,12.216653940441265,20.84061407386569,18.634895330982083,26635,3833,22802,18,0.338068996036879,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T051317,209.08048748970032
0.584,0.34500934156084684,0.5782575272654269,6348.873976098974,584,0,0,416,539090.0,313353.0,154239544.37534848,266731580.83171952,0.5812628689087166,24294.0,12.898369967893307,22.190252737301392,19.24724394399228,26771,3946,22380,16,0.34500934156084684,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T051646,209.09741473197937
0.578,0.3630682322717771,0.6206135153945385,6114.442620132312,578,0,0,422,503751.0,311799.0,151950013.5529081,244838389.4061829,0.6189546025715086,24851.0,12.546738561828498,20.270854291577805,18.66118118196081,27373,3446,23702,18,0.3630682322717771,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T052016,248.3810098171234
0.584,0.34612478094719407,0.583742050457206,6143.872319389482,584,0,0,416,539487.0,314896.0,152963989.13583994,262040380.70588458,0.5836952512294087,24897.0,12.647949552154879,21.668755271719483,18.79182187154436,26500,3959,22541,18,0.34612478094719407,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T052425,216.73586797714233
