update_time,lr,loss/loss,loss/actor_loss,loss/critic_loss,loss/entropy_loss,value/logprob,value/old_action_logprob,value/value,value/return,value/advantage,value/reward,grad/grad_clipped
20,0.001,-0.005778606,-0.0026137047,0.07889964,4.420784,-4.418422,-4.4190373,0.20843086,0.48311615,-4.0978193e-07,0.063636735,0.7066771
41,0.001,-0.033693127,-0.0014714971,0.019093229,4.372812,-4.3622565,-4.3666844,0.59106106,0.5074933,1.0244548e-07,0.065970525,0.41555992
62,0.001,-0.037131935,-0.0016589575,0.011491036,4.3397555,-4.333436,-4.3346877,0.48003656,0.5199418,4.284084e-08,0.06694372,0.14420275
83,0.001,-0.04206967,-0.0041935295,0.008150927,4.383485,-4.368532,-4.3712535,0.4989348,0.50594145,1.4901161e-08,0.066074006,0.1184572
104,0.001,-0.039658528,-0.001498322,0.0082148425,4.400187,-4.390746,-4.392584,0.49567893,0.51021385,7.450581e-09,0.065974265,0.05851047
125,0.001,-0.042913284,-0.0028018062,0.0044087027,4.402151,-4.4088454,-4.4074926,0.49229044,0.50637054,1.5366822e-08,0.06576432,0.09121245
146,0.001,-0.038284417,0.0002765525,0.00515338,4.336099,-4.329039,-4.329813,0.5061845,0.49763814,2.0489097e-08,0.06556792,0.0856254
167,0.001,-0.042082507,-0.0023853704,0.0058453907,4.4172554,-4.4373145,-4.4358454,0.49368542,0.49218798,-1.1175871e-08,0.06502004,0.09273873
188,0.001,-0.043316163,-0.003746136,0.006440154,4.4280734,-4.436087,-4.435524,0.48886147,0.49869823,2.7939677e-08,0.064829,0.09453861
209,0.001,-0.040834006,-0.00051694736,0.0032990735,4.3811264,-4.3861547,-4.385537,0.4966237,0.4947676,1.4901161e-08,0.06412247,0.027629705
230,0.001,-0.040977452,-0.0024612993,0.0033555047,4.2787304,-4.277055,-4.277355,0.5023341,0.49572477,0.0,0.064744316,0.074153066
251,0.001,-0.04291268,-0.0025928654,0.0034645745,4.38094,-4.3772235,-4.377694,0.51731527,0.52847177,-3.7252903e-09,0.06729353,0.096333556
272,0.001,-0.040505517,-0.0008467119,0.0055795116,4.4029155,-4.4340944,-4.432729,0.5095817,0.5144836,-2.6077032e-08,0.06611268,0.05035194
293,0.001,-0.041443437,-0.001765132,0.004778748,4.3835444,-4.3860736,-4.385805,0.50075734,0.50303143,-1.8626451e-08,0.06486645,0.056543883
314,0.001,-0.03966527,0.00030237623,0.0042146347,4.3850703,-4.357803,-4.359733,0.5075857,0.5117463,7.450581e-09,0.0662968,0.048694998
335,0.001,-0.04012069,-0.00069337524,0.0045210747,4.358691,-4.3751874,-4.3742237,0.5159796,0.5156926,7.450581e-09,0.066288166,0.044002444
356,0.001,-0.03954095,-6.0230494e-05,0.003338477,4.330002,-4.2902837,-4.2917285,0.52222425,0.52732587,1.3038516e-08,0.06872728,0.03958877
377,0.001,-0.045561977,-0.0041890144,0.0025404063,4.4083614,-4.405959,-4.40617,0.51132697,0.50608706,5.5879354e-09,0.065608904,0.10905547
398,0.001,-0.039620288,-0.0017872006,0.0056291684,4.2926903,-4.3277965,-4.3253345,0.53220594,0.5380903,-7.450581e-09,0.06898763,0.06549645
419,0.001,-0.0440898,-0.0051380284,0.0032344467,4.2985106,-4.3007226,-4.3003664,0.5051578,0.49566603,3.7252903e-09,0.06579963,0.12376054
440,0.001,-0.042346355,-0.0029661655,0.0030883064,4.3162994,-4.368486,-4.365901,0.5048302,0.4964808,-3.7252903e-09,0.064996734,0.080576085
461,0.001,-0.03920858,-0.0011197403,0.004343367,4.279427,-4.273679,-4.274286,0.5105185,0.51158595,-1.1175871e-08,0.066557705,0.05409587
482,0.001,-0.03978795,-0.0008418225,0.0041444874,4.3174887,-4.3055663,-4.305537,0.5143653,0.493956,-1.8626451e-08,0.06523671,0.09583192
503,0.001,-0.039086305,0.00012911065,0.0027359133,4.2967677,-4.2417955,-4.241585,0.516411,0.5240254,-4.5401976e-09,0.06795949,0.04523981
524,0.001,-0.040382974,-0.0033162655,0.0039406964,4.206194,-4.218395,-4.2179627,0.52208984,0.5231328,1.7229468e-08,0.06725037,0.0939769
545,0.001,-0.040351927,-0.0016540475,0.0025568851,4.253917,-4.272215,-4.2721863,0.52099603,0.51739055,7.450581e-09,0.06819485,0.062059544
566,0.001,-0.041299902,-0.002682128,0.0036559121,4.2721376,-4.277565,-4.277193,0.50696045,0.51962745,1.6763806e-08,0.0664859,0.07114222
587,0.001,-0.036236897,0.00088426145,0.0042341123,4.2078476,-4.2056713,-4.2062964,0.5149199,0.51991355,-1.3504177e-08,0.06722895,0.054993156
608,0.001,-0.03998953,-0.0004990697,0.0027237043,4.3061295,-4.3485537,-4.347727,0.5146218,0.5099846,-7.450581e-09,0.066227116,0.031266276
629,0.001,-0.038261488,-0.0004291106,0.0030972166,4.2209997,-4.084347,-4.08582,0.5207814,0.5298119,2.0489097e-08,0.06840046,0.060364734
650,0.001,-0.039593093,-0.002539862,0.006796149,4.2681003,-4.2980113,-4.2970862,0.5331161,0.52792335,-1.8626451e-08,0.068397686,0.060131833
671,0.001,-0.03974286,-0.001103133,0.003026212,4.2563915,-4.3010664,-4.2995048,0.5163532,0.5143839,1.1175871e-08,0.066678114,0.033166543
692,0.001,-0.04024201,-0.0031252801,0.0035597384,4.1929617,-4.1311493,-4.133364,0.5252526,0.5276635,-1.1175871e-08,0.06847608,0.088251874
713,0.001,-0.036193408,0.0014086962,0.003853775,4.228269,-4.055854,-4.0606422,0.52503765,0.5354973,7.450581e-09,0.069043726,0.08439729
734,0.001,-0.0390599,-0.002849226,0.0043230182,4.154799,-4.21649,-4.2139606,0.5233756,0.50179267,-6.519258e-09,0.06517375,0.095473565
755,0.001,-0.040271588,-0.0028550876,0.0033742322,4.198905,-4.2624965,-4.2608824,0.52347165,0.5295764,-1.1175871e-08,0.069233,0.07763799
776,0.001,-0.038635764,-0.0020950818,0.0048333555,4.1704874,-4.1249094,-4.126385,0.533591,0.52833533,2.0489097e-08,0.06910227,0.06548603
797,0.001,-0.035944827,-7.57426e-05,0.005611525,4.147449,-4.170367,-4.1703396,0.52646965,0.50945216,-1.8626451e-09,0.06632724,0.06373665
818,0.001,-0.03866564,-0.0023658676,0.0035461956,4.1117845,-4.167657,-4.166632,0.5183451,0.5238335,3.7252903e-09,0.066574536,0.08852539
839,0.001,-0.038153052,8.867122e-05,0.002137343,4.1862316,-4.066888,-4.068439,0.5160231,0.5230109,5.5879354e-09,0.06716431,0.040326595
860,0.001,-0.03516924,0.0013090745,0.005521152,4.1901875,-4.1144004,-4.116164,0.53085476,0.5414481,3.7252903e-09,0.06926958,0.07093194
881,0.001,-0.037878923,-7.141754e-05,0.0032385415,4.181997,-4.2312756,-4.2303643,0.54357207,0.52153385,-3.7252903e-09,0.06917153,0.083302945
902,0.001,-0.038846094,-0.0019290969,0.004857155,4.185965,-4.1169615,-4.1187005,0.538531,0.5406575,-2.4214387e-08,0.069817945,0.079502165
923,0.001,-0.03957423,-0.0034445599,0.0026977246,4.071182,-4.096665,-4.095776,0.5196588,0.5179701,-1.4901161e-08,0.067298226,0.06728482
944,0.001,-0.040845998,-0.0052932967,0.0034878622,4.074214,-4.020871,-4.023547,0.5243585,0.52506673,-2.8871e-08,0.067644686,0.069983445
965,0.001,-0.040162392,-0.0036063553,0.0037282752,4.119771,-4.040083,-4.042701,0.5527422,0.5445055,1.4901161e-08,0.07057076,0.084533796
986,0.001,-0.036589775,-0.0016621388,0.005825582,4.11957,-4.0267267,-4.0284557,0.55091715,0.5522144,-1.4901161e-08,0.07073778,0.04758993
1007,0.001,-0.03692623,-0.00088959746,0.005148094,4.1185246,-4.0107584,-4.0126333,0.5598745,0.5451504,0.0,0.071053244,0.06544349
1028,0.001,-0.0376986,-0.002049787,0.0035050216,4.0784154,-4.216863,-4.214911,0.5233796,0.5304183,1.3038516e-08,0.06824328,0.08583326
1049,0.001,-0.037664827,-0.0028963014,0.0048480835,4.0617876,-3.9240634,-3.927674,0.55575794,0.5663753,7.450581e-09,0.07278506,0.073641
1070,0.001,-0.03610347,-0.0013453215,0.0036936481,4.0343976,-3.9633033,-3.9648466,0.55959487,0.5580208,-7.450581e-09,0.07179489,0.03301149
1091,0.001,-0.03676007,-0.0033051828,0.0062462064,4.0138607,-4.1813684,-4.1787357,0.5351397,0.5341017,-2.0489097e-08,0.06765305,0.10266732
1112,0.001,-0.034941703,-0.0009648185,0.002337868,3.955889,-4.015337,-4.014475,0.51217234,0.51921636,2.2351742e-08,0.067433454,0.044619776
1133,0.001,-0.037099723,-0.0010658279,0.0027160202,4.045925,-4.0328975,-4.033452,0.5273757,0.52982193,-5.5879354e-09,0.06843817,0.032395285
1154,0.001,-0.037633285,-0.0033287052,0.0043200525,3.9909987,-3.9432142,-3.9440405,0.5269049,0.5384587,1.0244548e-08,0.06934406,0.090677895
1175,0.001,-0.04033006,-0.006730091,0.005037538,3.996203,-3.889101,-3.8914962,0.537267,0.54343486,1.3038516e-08,0.07027961,0.15561008
1196,0.001,-0.04058641,-0.005389979,0.002569757,4.017152,-3.9972203,-3.9969878,0.5167043,0.509284,7.450581e-09,0.06648075,0.122028396
1217,0.001,-0.035881557,-0.0014096443,0.003602183,3.9829166,-4.001379,-4.0008965,0.5478413,0.55544406,1.1175871e-08,0.07181618,0.048817694
1238,0.001,-0.0338208,-0.00049041957,0.0038361521,3.89498,-3.9077988,-3.9078074,0.55775034,0.53708464,-3.5390258e-08,0.07012421,0.072809175
1259,0.001,-0.034217935,-0.0025954638,0.006095414,3.9224057,-3.9654996,-3.9648333,0.55106044,0.5697837,3.7252903e-08,0.0717519,0.10131495
1280,0.001,-0.03163982,0.00011519715,0.0027598366,3.7845082,-3.8542628,-3.853762,0.5344675,0.533677,-7.450581e-09,0.068588786,0.0466998
1301,0.001,-0.03431467,-0.0004126262,0.0015911896,3.9062274,-3.902158,-3.901158,0.53868985,0.5379131,7.450581e-09,0.06966223,0.03294474
1322,0.001,-0.036471564,-0.0033900454,0.0032037504,3.8802242,-3.96425,-3.9631968,0.5446707,0.5396135,1.6298145e-08,0.07026561,0.11305661
1343,0.001,-0.032403138,-0.00040289806,0.0044033597,3.8503098,-3.7313714,-3.7334604,0.54093677,0.5417628,9.778887e-09,0.07129162,0.02949818
1364,0.001,-0.03449072,-0.0019271895,0.004587382,3.892152,-3.807409,-3.8084679,0.53506887,0.520585,-1.8626451e-09,0.06719675,0.07979325
1385,0.001,-0.034838304,-0.0011115312,0.0028150105,3.9235876,-3.9563491,-3.956181,0.52307373,0.52706635,-1.6298145e-08,0.06864919,0.0772153
1406,0.001,-0.034392744,-0.0022756169,0.003358801,3.824158,-3.8331556,-3.8332806,0.54324085,0.541823,1.8626451e-09,0.07107053,0.060951978
1427,0.001,-0.03545561,-0.0021588076,0.0022167424,3.8530989,-3.7669437,-3.7682805,0.5426407,0.53997827,3.7252903e-09,0.07083596,0.051994834
1448,0.001,-0.032073997,4.824251e-06,0.00338036,3.791681,-3.9037013,-3.9028563,0.5373669,0.5284851,-3.3527613e-08,0.069913946,0.037615627
1469,0.001,-0.032370336,-0.00049894303,0.0037460984,3.799818,-3.8501995,-3.8494759,0.54091585,0.5569488,-1.4901161e-08,0.07166247,0.06654773
1490,0.001,-0.033906933,-0.002067253,0.0037536751,3.8233018,-3.9659822,-3.9640088,0.55292124,0.5512631,1.1175871e-08,0.07129967,0.062359676
1511,0.001,-0.032936744,0.00023864303,0.0024927023,3.8630886,-3.861806,-3.861896,0.55912393,0.56393874,1.1175871e-08,0.072159536,0.050873697
1532,0.001,-0.03138359,5.382113e-05,0.0034364955,3.8114936,-3.7681408,-3.7682092,0.54397595,0.5432808,-9.313226e-09,0.07098969,0.054913945
1553,0.001,-0.03227567,-0.0005530352,0.0038796407,3.7991867,-3.944413,-3.9436545,0.5440462,0.5403269,-1.3038516e-08,0.07008676,0.048755366
1574,0.001,-0.031441577,-0.00029926002,0.004604157,3.8053522,-3.6720836,-3.6732213,0.5567553,0.5630951,-7.450581e-09,0.07285836,0.046755906
1595,0.001,-0.03193087,-0.000991595,0.0037471196,3.8209763,-3.816397,-3.8167653,0.5478119,0.5448384,1.5832484e-08,0.071731195,0.058370844
1616,0.001,-0.033112776,-0.0023781238,0.0038740328,3.7975392,-3.5824764,-3.585331,0.55063343,0.5527253,1.3969839e-08,0.07115153,0.06303551
