v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_current_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,v_net_reward,num_interactions,num_placed_nodes,num_routed_links
1,1,1,582.0,913.0,53531.95589813695,83977.10607388151,0.6374589266155531,0.637458926615553,8,0,1,24.0,41555,7280,34275,0.028426531429334045,0.020014295925661174,0,91.97930566690198,24.0,8,12,True,"{0: 98, 1: 26, 2: 40, 3: 94, 4: 39, 5: 32, 6: 55, 7: 80}","{(0, 4): [(98, 26), (26, 39)], (0, 6): [(98, 40), (40, 55)], (1, 2): [(26, 35), (35, 40)], (1, 3): [(26, 94)], (1, 4): [(26, 39)], (2, 3): [(40, 63), (63, 94)], (2, 4): [(40, 39)], (2, 5): [(40, 4), (4, 32)], (3, 4): [(94, 26), (26, 39)], (3, 5): [(94, 65), (65, 32)], (4, 5): [(39, 4), (4, 32)], (5, 7): [(32, 37), (37, 80)]}","{(0, 98): {'cpu': 17}, (1, 26): {'cpu': 9}, (2, 40): {'cpu': 46}, (3, 94): {'cpu': 47}, (4, 39): {'cpu': 47}, (5, 32): {'cpu': 43}, (6, 55): {'cpu': 3}, (7, 80): {'cpu': 1}}","{((0, 4), (98, 26)): {'bw': 32}, ((0, 4), (26, 39)): {'bw': 32}, ((0, 6), (98, 40)): {'bw': 32}, ((0, 6), (40, 55)): {'bw': 32}, ((1, 2), (26, 35)): {'bw': 50}, ((1, 2), (35, 40)): {'bw': 50}, ((1, 3), (26, 94)): {'bw': 11}, ((1, 4), (26, 39)): {'bw': 5}, ((2, 3), (40, 63)): {'bw': 40}, ((2, 3), (63, 94)): {'bw': 40}, ((2, 4), (40, 39)): {'bw': 22}, ((2, 5), (40, 4)): {'bw': 31}, ((2, 5), (4, 32)): {'bw': 31}, ((3, 4), (94, 26)): {'bw': 49}, ((3, 4), (26, 39)): {'bw': 49}, ((3, 5), (94, 65)): {'bw': 50}, ((3, 5), (65, 32)): {'bw': 50}, ((4, 5), (39, 4)): {'bw': 41}, ((4, 5), (4, 32)): {'bw': 41}, ((5, 7), (32, 37)): {'bw': 6}, ((5, 7), (37, 80)): {'bw': 6}}",913.0,582.0,639.0,213.0,369,213.0,369,213.0,700,331,0.6374589266155531,83977.10607388151,53531.95589813695,58.6330294612672,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6374589266155531,0.0,8.0,12.0
2,2,2,1047.0,1625.0,82426.96268000203,128220.6433398771,0.6443076923076924,0.6428525121458889,10,1,1,64.0,40843,7084,33759,0.05458427866008275,0.03476769120800571,1,62.139799530892674,64.0,8,14,True,"{0: 16, 1: 32, 2: 39, 3: 26, 4: 40, 5: 98, 6: 18, 7: 55}","{(0, 2): [(16, 39)], (0, 3): [(16, 35), (35, 26)], (0, 6): [(16, 33), (33, 18)], (1, 3): [(32, 26)], (1, 5): [(32, 98)], (1, 6): [(32, 37), (37, 18)], (1, 7): [(32, 26), (26, 55)], (2, 6): [(39, 42), (42, 18)], (2, 7): [(39, 16), (16, 55)], (3, 5): [(26, 5), (5, 98)], (3, 6): [(26, 35), (35, 18)], (4, 7): [(40, 55)], (5, 7): [(98, 40), (40, 55)], (6, 7): [(18, 11), (11, 47), (47, 55)]}","{(0, 16): {'cpu': 27}, (1, 32): {'cpu': 45}, (2, 39): {'cpu': 5}, (3, 26): {'cpu': 41}, (4, 40): {'cpu': 0}, (5, 98): {'cpu': 47}, (6, 18): {'cpu': 7}, (7, 55): {'cpu': 24}}","{((0, 2), (16, 39)): {'bw': 1}, ((0, 3), (16, 35)): {'bw': 7}, ((0, 3), (35, 26)): {'bw': 7}, ((0, 6), (16, 33)): {'bw': 0}, ((0, 6), (33, 18)): {'bw': 0}, ((1, 3), (32, 26)): {'bw': 13}, ((1, 5), (32, 98)): {'bw': 33}, ((1, 6), (32, 37)): {'bw': 39}, ((1, 6), (37, 18)): {'bw': 39}, ((1, 7), (32, 26)): {'bw': 0}, ((1, 7), (26, 55)): {'bw': 0}, ((2, 6), (39, 42)): {'bw': 31}, ((2, 6), (42, 18)): {'bw': 31}, ((2, 7), (39, 16)): {'bw': 21}, ((2, 7), (16, 55)): {'bw': 21}, ((3, 5), (26, 5)): {'bw': 43}, ((3, 5), (5, 98)): {'bw': 43}, ((3, 6), (26, 35)): {'bw': 3}, ((3, 6), (35, 18)): {'bw': 3}, ((4, 7), (40, 55)): {'bw': 7}, ((5, 7), (98, 40)): {'bw': 39}, ((5, 7), (40, 55)): {'bw': 39}, ((6, 7), (18, 11)): {'bw': 32}, ((6, 7), (11, 47)): {'bw': 32}, ((6, 7), (47, 55)): {'bw': 32}}",712.0,465.0,588.0,196.0,269,196.0,269,196.0,516,247,0.6530898876404494,44243.53726599558,28895.006781865093,40.58287469363075,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6530898876404494,0.0,8.0,14.0
3,3,3,1298.0,1993.0,182208.22564256727,274513.4910300126,0.6512794781736077,0.6637496210437484,13,2,1,97.0,40475,6965,33510,0.07046576805018012,0.04188706218727667,2,397.53491220145514,97.0,8,9,True,"{0: 39, 1: 40, 2: 32, 3: 16, 4: 0, 5: 86, 6: 72, 7: 98}","{(0, 5): [(39, 81), (81, 86)], (0, 6): [(39, 16), (16, 72)], (0, 7): [(39, 26), (26, 98)], (1, 3): [(40, 4), (4, 16)], (1, 5): [(40, 62), (62, 86)], (2, 3): [(32, 0), (0, 16)], (2, 4): [(32, 0)], (3, 5): [(16, 0), (0, 86)], (6, 7): [(72, 98)]}","{(0, 39): {'cpu': 4}, (1, 40): {'cpu': 9}, (2, 32): {'cpu': 6}, (3, 16): {'cpu': 24}, (4, 0): {'cpu': 34}, (5, 86): {'cpu': 9}, (6, 72): {'cpu': 32}, (7, 98): {'cpu': 1}}","{((0, 5), (39, 81)): {'bw': 8}, ((0, 5), (81, 86)): {'bw': 8}, ((0, 6), (39, 16)): {'bw': 21}, ((0, 6), (16, 72)): {'bw': 21}, ((0, 7), (39, 26)): {'bw': 0}, ((0, 7), (26, 98)): {'bw': 0}, ((1, 3), (40, 4)): {'bw': 37}, ((1, 3), (4, 16)): {'bw': 37}, ((1, 5), (40, 62)): {'bw': 8}, ((1, 5), (62, 86)): {'bw': 8}, ((2, 3), (32, 0)): {'bw': 37}, ((2, 3), (0, 16)): {'bw': 37}, ((2, 4), (32, 0)): {'bw': 14}, ((3, 5), (16, 0)): {'bw': 6}, ((3, 5), (0, 86)): {'bw': 6}, ((6, 7), (72, 98)): {'bw': 1}}",368.0,251.0,357.0,119.0,132,119.0,132,119.0,249,117,0.6820652173913043,146292.8476901355,99781.26296256525,271.1447363113186,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6820652173913043,0.0,8.0,9.0
3,3,2,1298.0,1993.0,182208.22564256727,274513.4910300126,0.6512794781736077,0.6637496210437484,13,3,0,115.97930566690198,41388,7178,34210,0.04203923662084608,0.021872766261615495,0,91.97930566690198,24.0,8,12,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,,,
4,4,3,1936.0,2933.0,380903.11652403075,567261.449382012,0.6600750085236958,0.671477176774476,15,4,1,123.0,40448,6945,33503,0.07313492593086879,0.04208720514653319,3,311.43399824680796,123.0,8,14,True,"{0: 86, 1: 26, 2: 32, 3: 4, 4: 40, 5: 39, 6: 50, 7: 72}","{(0, 1): [(86, 26)], (0, 3): [(86, 81), (81, 4)], (0, 4): [(86, 62), (62, 40)], (0, 5): [(86, 26), (26, 39)], (0, 6): [(86, 0), (0, 50)], (0, 7): [(86, 26), (26, 72)], (1, 3): [(26, 32), (32, 4)], (1, 4): [(26, 35), (35, 40)], (2, 3): [(32, 4)], (2, 6): [(32, 50)], (2, 7): [(32, 65), (65, 72)], (3, 6): [(4, 50)], (3, 7): [(4, 16), (16, 72)], (6, 7): [(50, 67), (67, 72)]}","{(0, 86): {'cpu': 18}, (1, 26): {'cpu': 23}, (2, 32): {'cpu': 22}, (3, 4): {'cpu': 48}, (4, 40): {'cpu': 9}, (5, 39): {'cpu': 46}, (6, 50): {'cpu': 33}, (7, 72): {'cpu': 34}}","{((0, 1), (86, 26)): {'bw': 15}, ((0, 3), (86, 81)): {'bw': 46}, ((0, 3), (81, 4)): {'bw': 46}, ((0, 4), (86, 62)): {'bw': 39}, ((0, 4), (62, 40)): {'bw': 39}, ((0, 5), (86, 26)): {'bw': 10}, ((0, 5), (26, 39)): {'bw': 10}, ((0, 6), (86, 0)): {'bw': 41}, ((0, 6), (0, 50)): {'bw': 41}, ((0, 7), (86, 26)): {'bw': 47}, ((0, 7), (26, 72)): {'bw': 47}, ((1, 3), (26, 32)): {'bw': 26}, ((1, 3), (32, 4)): {'bw': 26}, ((1, 4), (26, 35)): {'bw': 44}, ((1, 4), (35, 40)): {'bw': 44}, ((2, 3), (32, 4)): {'bw': 36}, ((2, 6), (32, 50)): {'bw': 37}, ((2, 7), (32, 65)): {'bw': 12}, ((2, 7), (65, 72)): {'bw': 12}, ((3, 6), (4, 50)): {'bw': 15}, ((3, 7), (4, 16)): {'bw': 5}, ((3, 7), (16, 72)): {'bw': 5}, ((6, 7), (50, 67)): {'bw': 32}, ((6, 7), (67, 72)): {'bw': 32}}",940.0,638.0,699.0,233.0,405,233.0,405,233.0,707,302,0.6787234042553192,292747.95835199946,198694.89088146348,211.3775434909186,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6787234042553192,0.0,8.0,14.0
4,4,2,1936.0,2933.0,380903.11652403075,567261.449382012,0.6600750085236958,0.671477176774476,15,5,0,126.13979953089267,41160,7141,34019,0.04697717870012008,0.027333809864188652,1,62.139799530892674,64.0,8,14,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,,,
5,5,3,2573.0,3985.0,574434.6160565224,886877.0498658128,0.6456712672521957,0.6477049058191732,16,6,1,150.0,40108,6960,33148,0.07113305752035237,0.05223731236597573,4,303.8171107260464,150.0,8,19,True,"{0: 26, 1: 94, 2: 40, 3: 98, 4: 32, 5: 86, 6: 39, 7: 64}","{(0, 2): [(26, 39), (39, 40)], (0, 3): [(26, 98)], (0, 5): [(26, 45), (45, 86)], (0, 6): [(26, 39)], (1, 3): [(94, 5), (5, 98)], (1, 4): [(94, 26), (26, 32)], (1, 5): [(94, 83), (83, 86)], (1, 6): [(94, 65), (65, 39)], (1, 7): [(94, 87), (87, 64)], (2, 3): [(40, 98)], (2, 7): [(40, 62), (62, 64)], (3, 5): [(98, 9), (9, 86)], (3, 6): [(98, 57), (57, 39)], (3, 7): [(98, 25), (25, 64)], (4, 5): [(32, 0), (0, 86)], (4, 6): [(32, 65), (65, 39)], (4, 7): [(32, 64)], (5, 6): [(86, 81), (81, 39)], (6, 7): [(39, 81), (81, 27), (27, 64)]}","{(0, 26): {'cpu': 2}, (1, 94): {'cpu': 24}, (2, 40): {'cpu': 44}, (3, 98): {'cpu': 10}, (4, 32): {'cpu': 6}, (5, 86): {'cpu': 32}, (6, 39): {'cpu': 20}, (7, 64): {'cpu': 43}}","{((0, 2), (26, 39)): {'bw': 41}, ((0, 2), (39, 40)): {'bw': 41}, ((0, 3), (26, 98)): {'bw': 15}, ((0, 5), (26, 45)): {'bw': 40}, ((0, 5), (45, 86)): {'bw': 40}, ((0, 6), (26, 39)): {'bw': 0}, ((1, 3), (94, 5)): {'bw': 24}, ((1, 3), (5, 98)): {'bw': 24}, ((1, 4), (94, 26)): {'bw': 10}, ((1, 4), (26, 32)): {'bw': 10}, ((1, 5), (94, 83)): {'bw': 3}, ((1, 5), (83, 86)): {'bw': 3}, ((1, 6), (94, 65)): {'bw': 40}, ((1, 6), (65, 39)): {'bw': 40}, ((1, 7), (94, 87)): {'bw': 12}, ((1, 7), (87, 64)): {'bw': 12}, ((2, 3), (40, 98)): {'bw': 33}, ((2, 7), (40, 62)): {'bw': 9}, ((2, 7), (62, 64)): {'bw': 9}, ((3, 5), (98, 9)): {'bw': 25}, ((3, 5), (9, 86)): {'bw': 25}, ((3, 6), (98, 57)): {'bw': 44}, ((3, 6), (57, 39)): {'bw': 44}, ((3, 7), (98, 25)): {'bw': 44}, ((3, 7), (25, 64)): {'bw': 44}, ((4, 5), (32, 0)): {'bw': 10}, ((4, 5), (0, 86)): {'bw': 10}, ((4, 6), (32, 65)): {'bw': 44}, ((4, 6), (65, 39)): {'bw': 44}, ((4, 7), (32, 64)): {'bw': 20}, ((5, 6), (86, 81)): {'bw': 15}, ((5, 6), (81, 39)): {'bw': 15}, ((6, 7), (39, 81)): {'bw': 27}, ((6, 7), (81, 27)): {'bw': 27}, ((6, 7), (27, 64)): {'bw': 27}}",1052.0,637.0,543.0,181.0,456,181.0,456,181.0,871,415,0.6055133079847909,319615.6004838008,193531.49953249155,183.96530373810984,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6055133079847909,0.0,8.0,19.0
6,6,4,3032.0,4652.0,726390.3927320488,1107692.9606339524,0.6517626827171109,0.6557687179995462,19,7,1,180.0,39441,6780,32661,0.09515547844655015,0.06616154395997143,5,331.0583369837177,180.0,8,11,True,"{0: 26, 1: 98, 2: 32, 3: 0, 4: 5, 5: 16, 6: 22, 7: 24}","{(0, 1): [(26, 98)], (0, 2): [(26, 32)], (0, 3): [(26, 96), (96, 0)], (0, 6): [(26, 5), (5, 22)], (1, 4): [(98, 5)], (2, 3): [(32, 10), (10, 0)], (2, 7): [(32, 20), (20, 24)], (3, 7): [(0, 96), (96, 24)], (4, 5): [(5, 35), (35, 16)], (5, 6): [(16, 4), (4, 22)], (6, 7): [(22, 4), (4, 24)]}","{(0, 26): {'cpu': 18}, (1, 98): {'cpu': 42}, (2, 32): {'cpu': 5}, (3, 0): {'cpu': 14}, (4, 5): {'cpu': 13}, (5, 16): {'cpu': 32}, (6, 22): {'cpu': 31}, (7, 24): {'cpu': 25}}","{((0, 1), (26, 98)): {'bw': 25}, ((0, 2), (26, 32)): {'bw': 25}, ((0, 3), (26, 96)): {'bw': 20}, ((0, 3), (96, 0)): {'bw': 20}, ((0, 6), (26, 5)): {'bw': 34}, ((0, 6), (5, 22)): {'bw': 34}, ((1, 4), (98, 5)): {'bw': 21}, ((2, 3), (32, 10)): {'bw': 35}, ((2, 3), (10, 0)): {'bw': 35}, ((2, 7), (32, 20)): {'bw': 35}, ((2, 7), (20, 24)): {'bw': 35}, ((3, 7), (0, 96)): {'bw': 1}, ((3, 7), (96, 24)): {'bw': 1}, ((4, 5), (5, 35)): {'bw': 34}, ((4, 5), (35, 16)): {'bw': 34}, ((5, 6), (16, 4)): {'bw': 45}, ((5, 6), (4, 22)): {'bw': 45}, ((6, 7), (22, 4)): {'bw': 4}, ((6, 7), (4, 24)): {'bw': 4}}",667.0,459.0,540.0,180.0,279,180.0,279,180.0,487,208,0.6881559220389805,220815.9107681397,151955.77667552643,227.81975513572178,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6881559220389805,0.0,8.0,11.0
7,7,5,3544.0,5325.0,884286.9325205095,1315240.5607855816,0.6655399061032864,0.672338550745677,22,8,1,192.0,38768,6559,32209,0.12464967302815966,0.07908506075768407,6,308.39167927433743,192.0,8,16,True,"{0: 32, 1: 37, 2: 42, 3: 40, 4: 98, 5: 4, 6: 88, 7: 5}","{(0, 1): [(32, 37)], (0, 4): [(32, 98)], (0, 6): [(32, 4), (4, 88)], (1, 2): [(37, 18), (18, 42)], (1, 3): [(37, 80), (80, 40)], (1, 4): [(37, 25), (25, 98)], (2, 4): [(42, 60), (60, 98)], (2, 5): [(42, 24), (24, 4)], (2, 7): [(42, 12), (12, 5)], (3, 4): [(40, 98)], (3, 5): [(40, 4)], (3, 6): [(40, 88)], (3, 7): [(40, 22), (22, 5)], (4, 5): [(98, 32), (32, 4)], (4, 6): [(98, 88)], (5, 7): [(4, 22), (22, 5)]}","{(0, 32): {'cpu': 47}, (1, 37): {'cpu': 37}, (2, 42): {'cpu': 45}, (3, 40): {'cpu': 1}, (4, 98): {'cpu': 13}, (5, 4): {'cpu': 4}, (6, 88): {'cpu': 35}, (7, 5): {'cpu': 39}}","{((0, 1), (32, 37)): {'bw': 2}, ((0, 4), (32, 98)): {'bw': 16}, ((0, 6), (32, 4)): {'bw': 14}, ((0, 6), (4, 88)): {'bw': 14}, ((1, 2), (37, 18)): {'bw': 6}, ((1, 2), (18, 42)): {'bw': 6}, ((1, 3), (37, 80)): {'bw': 31}, ((1, 3), (80, 40)): {'bw': 31}, ((1, 4), (37, 25)): {'bw': 5}, ((1, 4), (25, 98)): {'bw': 5}, ((2, 4), (42, 60)): {'bw': 23}, ((2, 4), (60, 98)): {'bw': 23}, ((2, 5), (42, 24)): {'bw': 36}, ((2, 5), (24, 4)): {'bw': 36}, ((2, 7), (42, 12)): {'bw': 39}, ((2, 7), (12, 5)): {'bw': 39}, ((3, 4), (40, 98)): {'bw': 36}, ((3, 5), (40, 4)): {'bw': 37}, ((3, 6), (40, 88)): {'bw': 11}, ((3, 7), (40, 22)): {'bw': 3}, ((3, 7), (22, 5)): {'bw': 3}, ((4, 5), (98, 32)): {'bw': 1}, ((4, 5), (32, 4)): {'bw': 1}, ((4, 6), (98, 88)): {'bw': 28}, ((5, 7), (4, 22)): {'bw': 3}, ((5, 7), (22, 5)): {'bw': 3}}",673.0,512.0,663.0,221.0,291,221.0,291,221.0,452,161,0.7607726597325408,207547.6001516291,157896.53978846077,234.61595808092238,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7607726597325408,0.0,8.0,16.0
8,8,6,4106.0,6170.0,967980.8292738734,1441079.2489645719,0.6654781199351701,0.6717054804372321,26,9,1,209.0,37923,6351,31572,0.15240891498732145,0.09729807005003577,7,148.9215244721777,209.0,8,19,True,"{0: 26, 1: 55, 2: 83, 3: 34, 4: 81, 5: 98, 6: 32, 7: 17}","{(0, 1): [(26, 55)], (0, 2): [(26, 81), (81, 83)], (0, 3): [(26, 5), (5, 34)], (0, 5): [(26, 5), (5, 98)], (0, 6): [(26, 32)], (1, 3): [(55, 34)], (1, 4): [(55, 26), (26, 81)], (1, 5): [(55, 72), (72, 98)], (1, 6): [(55, 26), (26, 32)], (2, 3): [(83, 34)], (2, 4): [(83, 81)], (3, 4): [(34, 86), (86, 81)], (3, 5): [(34, 74), (74, 98)], (3, 7): [(34, 5), (5, 22), (22, 17)], (4, 5): [(81, 27), (27, 60), (60, 98)], (4, 6): [(81, 27), (27, 20), (20, 32)], (4, 7): [(81, 2), (2, 17)], (5, 7): [(98, 9), (9, 17)], (6, 7): [(32, 22), (22, 17)]}","{(0, 26): {'cpu': 31}, (1, 55): {'cpu': 41}, (2, 83): {'cpu': 44}, (3, 34): {'cpu': 28}, (4, 81): {'cpu': 39}, (5, 98): {'cpu': 4}, (6, 32): {'cpu': 8}, (7, 17): {'cpu': 13}}","{((0, 1), (26, 55)): {'bw': 7}, ((0, 2), (26, 81)): {'bw': 48}, ((0, 2), (81, 83)): {'bw': 48}, ((0, 3), (26, 5)): {'bw': 7}, ((0, 3), (5, 34)): {'bw': 7}, ((0, 5), (26, 5)): {'bw': 18}, ((0, 5), (5, 98)): {'bw': 18}, ((0, 6), (26, 32)): {'bw': 12}, ((1, 3), (55, 34)): {'bw': 49}, ((1, 4), (55, 26)): {'bw': 13}, ((1, 4), (26, 81)): {'bw': 13}, ((1, 5), (55, 72)): {'bw': 18}, ((1, 5), (72, 98)): {'bw': 18}, ((1, 6), (55, 26)): {'bw': 20}, ((1, 6), (26, 32)): {'bw': 20}, ((2, 3), (83, 34)): {'bw': 19}, ((2, 4), (83, 81)): {'bw': 15}, ((3, 4), (34, 86)): {'bw': 25}, ((3, 4), (86, 81)): {'bw': 25}, ((3, 5), (34, 74)): {'bw': 29}, ((3, 5), (74, 98)): {'bw': 29}, ((3, 7), (34, 5)): {'bw': 1}, ((3, 7), (5, 22)): {'bw': 1}, ((3, 7), (22, 17)): {'bw': 1}, ((4, 5), (81, 27)): {'bw': 8}, ((4, 5), (27, 60)): {'bw': 8}, ((4, 5), (60, 98)): {'bw': 8}, ((4, 6), (81, 27)): {'bw': 22}, ((4, 6), (27, 20)): {'bw': 22}, ((4, 6), (20, 32)): {'bw': 22}, ((4, 7), (81, 2)): {'bw': 33}, ((4, 7), (2, 17)): {'bw': 33}, ((5, 7), (98, 9)): {'bw': 8}, ((5, 7), (9, 17)): {'bw': 8}, ((6, 7), (32, 22)): {'bw': 2}, ((6, 7), (22, 17)): {'bw': 2}}",845.0,562.0,624.0,208.0,354,208.0,354,208.0,637,283,0.6650887573964497,125838.68817899017,83693.89675336388,99.04603166078564,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6650887573964497,0.0,8.0,19.0
