v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_current_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,v_net_reward,num_interactions,num_placed_nodes,num_routed_links
1,1,1,468.0,688.0,86201.45100938108,126723.50062917561,0.6802325581395349,0.6802325581395349,8,0,1,24.0,41780,7347,34433,0.019484852529027097,0.015496783416726223,0,184.19113463542968,24.0,8,14,True,"{0: 26, 1: 32, 2: 98, 3: 40, 4: 79, 5: 72, 6: 39, 7: 55}","{(0, 1): [(26, 32)], (0, 2): [(26, 98)], (0, 3): [(26, 35), (35, 40)], (1, 2): [(32, 98)], (1, 6): [(32, 4), (4, 39)], (1, 7): [(32, 26), (26, 55)], (3, 4): [(40, 72), (72, 79)], (3, 5): [(40, 72)], (3, 6): [(40, 39)], (4, 6): [(79, 26), (26, 39)], (4, 7): [(79, 26), (26, 55)], (5, 6): [(72, 16), (16, 39)], (5, 7): [(72, 55)], (6, 7): [(39, 16), (16, 55)]}","{(0, 26): {'cpu': 28}, (1, 32): {'cpu': 11}, (2, 98): {'cpu': 22}, (3, 40): {'cpu': 11}, (4, 79): {'cpu': 19}, (5, 72): {'cpu': 17}, (6, 39): {'cpu': 29}, (7, 55): {'cpu': 9}}","{((0, 1), (26, 32)): {'bw': 17}, ((0, 2), (26, 98)): {'bw': 12}, ((0, 3), (26, 35)): {'bw': 40}, ((0, 3), (35, 40)): {'bw': 40}, ((1, 2), (32, 98)): {'bw': 4}, ((1, 6), (32, 4)): {'bw': 50}, ((1, 6), (4, 39)): {'bw': 50}, ((1, 7), (32, 26)): {'bw': 13}, ((1, 7), (26, 55)): {'bw': 13}, ((3, 4), (40, 72)): {'bw': 39}, ((3, 4), (72, 79)): {'bw': 39}, ((3, 5), (40, 72)): {'bw': 47}, ((3, 6), (40, 39)): {'bw': 0}, ((4, 6), (79, 26)): {'bw': 3}, ((4, 6), (26, 39)): {'bw': 3}, ((4, 7), (79, 26)): {'bw': 22}, ((4, 7), (26, 55)): {'bw': 22}, ((5, 6), (72, 16)): {'bw': 29}, ((5, 6), (16, 39)): {'bw': 29}, ((5, 7), (72, 55)): {'bw': 22}, ((6, 7), (39, 16)): {'bw': 24}, ((6, 7), (16, 55)): {'bw': 24}}",688.0,468.0,438.0,146.0,322,146.0,322,146.0,542,220,0.6802325581395349,126723.50062917561,86201.45100938108,125.29280669968182,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6802325581395349,0,8,14
2,2,2,997.0,1425.0,90470.46493807575,132671.0682387181,0.6996491228070175,0.6819155535500037,11,1,1,56.0,41043,7143,33900,0.04671026291205127,0.030736240171551077,1,8.0699696194606,56.0,8,14,True,"{0: 32, 1: 26, 2: 98, 3: 86, 4: 40, 5: 25, 6: 39, 7: 81}","{(0, 1): [(32, 26)], (0, 3): [(32, 0), (0, 86)], (0, 5): [(32, 0), (0, 25)], (0, 6): [(32, 4), (4, 39)], (0, 7): [(32, 20), (20, 4), (4, 81)], (1, 3): [(26, 86)], (1, 4): [(26, 35), (35, 40)], (1, 6): [(26, 39)], (2, 5): [(98, 25)], (2, 6): [(98, 26), (26, 39)], (3, 4): [(86, 62), (62, 40)], (4, 5): [(40, 35), (35, 25)], (4, 6): [(40, 39)], (5, 7): [(25, 83), (83, 81)]}","{(0, 32): {'cpu': 2}, (1, 26): {'cpu': 46}, (2, 98): {'cpu': 28}, (3, 86): {'cpu': 47}, (4, 40): {'cpu': 21}, (5, 25): {'cpu': 16}, (6, 39): {'cpu': 38}, (7, 81): {'cpu': 6}}","{((0, 1), (32, 26)): {'bw': 42}, ((0, 3), (32, 0)): {'bw': 8}, ((0, 3), (0, 86)): {'bw': 8}, ((0, 5), (32, 0)): {'bw': 28}, ((0, 5), (0, 25)): {'bw': 28}, ((0, 6), (32, 4)): {'bw': 12}, ((0, 6), (4, 39)): {'bw': 12}, ((0, 7), (32, 20)): {'bw': 42}, ((0, 7), (20, 4)): {'bw': 42}, ((0, 7), (4, 81)): {'bw': 42}, ((1, 3), (26, 86)): {'bw': 34}, ((1, 4), (26, 35)): {'bw': 9}, ((1, 4), (35, 40)): {'bw': 9}, ((1, 6), (26, 39)): {'bw': 5}, ((2, 5), (98, 25)): {'bw': 40}, ((2, 6), (98, 26)): {'bw': 10}, ((2, 6), (26, 39)): {'bw': 10}, ((3, 4), (86, 62)): {'bw': 9}, ((3, 4), (62, 40)): {'bw': 9}, ((4, 5), (40, 35)): {'bw': 31}, ((4, 5), (35, 25)): {'bw': 31}, ((4, 6), (40, 39)): {'bw': 38}, ((5, 7), (25, 83)): {'bw': 17}, ((5, 7), (83, 81)): {'bw': 17}}",737.0,529.0,612.0,204.0,325,204.0,325,204.0,533,208,0.7177747625508819,5947.567609542462,4269.013928694658,5.7924205274011635,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7177747625508819,0,8,14
2,2,1,997.0,1425.0,90470.46493807575,132671.0682387181,0.6996491228070175,0.6819155535500037,11,2,0,64.06996961946061,41780,7347,34433,0.019484852529027097,0.015496783416726223,1,8.0699696194606,56.0,8,14,False,{},{},{},{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[]
3,3,2,1376.0,1976.0,215965.01607057522,315118.29165298515,0.6963562753036437,0.685345858336908,12,3,1,84.0,41229,7219,34010,0.03656746296543445,0.02759113652609002,2,331.1201876846952,84.0,8,13,True,"{0: 26, 1: 32, 2: 98, 3: 40, 4: 39, 5: 86, 6: 72, 7: 80}","{(0, 3): [(26, 35), (35, 40)], (0, 4): [(26, 39)], (1, 4): [(32, 4), (4, 39)], (1, 5): [(32, 0), (0, 86)], (1, 6): [(32, 26), (26, 72)], (2, 6): [(98, 72)], (2, 7): [(98, 40), (40, 80)], (3, 4): [(40, 39)], (3, 5): [(40, 62), (62, 86)], (3, 7): [(40, 80)], (4, 6): [(39, 26), (26, 72)], (4, 7): [(39, 80)], (5, 6): [(86, 26), (26, 72)]}","{(0, 26): {'cpu': 28}, (1, 32): {'cpu': 1}, (2, 98): {'cpu': 7}, (3, 40): {'cpu': 4}, (4, 39): {'cpu': 13}, (5, 86): {'cpu': 31}, (6, 72): {'cpu': 16}, (7, 80): {'cpu': 28}}","{((0, 3), (26, 35)): {'bw': 15}, ((0, 3), (35, 40)): {'bw': 15}, ((0, 4), (26, 39)): {'bw': 11}, ((1, 4), (32, 4)): {'bw': 15}, ((1, 4), (4, 39)): {'bw': 15}, ((1, 5), (32, 0)): {'bw': 39}, ((1, 5), (0, 86)): {'bw': 39}, ((1, 6), (32, 26)): {'bw': 4}, ((1, 6), (26, 72)): {'bw': 4}, ((2, 6), (98, 72)): {'bw': 27}, ((2, 7), (98, 40)): {'bw': 39}, ((2, 7), (40, 80)): {'bw': 39}, ((3, 4), (40, 39)): {'bw': 25}, ((3, 5), (40, 62)): {'bw': 14}, ((3, 5), (62, 86)): {'bw': 14}, ((3, 7), (40, 80)): {'bw': 13}, ((4, 6), (39, 26)): {'bw': 12}, ((4, 6), (26, 72)): {'bw': 12}, ((4, 7), (39, 80)): {'bw': 3}, ((5, 6), (86, 26)): {'bw': 34}, ((5, 6), (26, 72)): {'bw': 34}}",551.0,379.0,384.0,128.0,251,128.0,251,128.0,423,172,0.6878402903811253,182447.22341426706,125494.55113249949,227.75780604809347,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6878402903811253,0,8,13
4,4,3,1711.0,2435.0,284244.53774222714,408671.4273165321,0.7026694045174537,0.6955331807967787,15,4,1,104.0,40770,7097,33673,0.05284932603763515,0.03722659042172982,3,203.81946767657294,104.0,8,10,True,"{0: 40, 1: 98, 2: 88, 3: 39, 4: 26, 5: 32, 6: 94, 7: 5}","{(0, 1): [(40, 98)], (0, 3): [(40, 39)], (0, 7): [(40, 22), (22, 5)], (1, 3): [(98, 57), (57, 39)], (2, 4): [(88, 48), (48, 26)], (2, 5): [(88, 4), (4, 32)], (2, 6): [(88, 94)], (3, 4): [(39, 26)], (3, 5): [(39, 26), (26, 32)], (4, 6): [(26, 94)]}","{(0, 40): {'cpu': 21}, (1, 98): {'cpu': 44}, (2, 88): {'cpu': 26}, (3, 39): {'cpu': 1}, (4, 26): {'cpu': 3}, (5, 32): {'cpu': 0}, (6, 94): {'cpu': 0}, (7, 5): {'cpu': 27}}","{((0, 1), (40, 98)): {'bw': 16}, ((0, 3), (40, 39)): {'bw': 15}, ((0, 7), (40, 22)): {'bw': 20}, ((0, 7), (22, 5)): {'bw': 20}, ((1, 3), (98, 57)): {'bw': 40}, ((1, 3), (57, 39)): {'bw': 40}, ((2, 4), (88, 48)): {'bw': 23}, ((2, 4), (48, 26)): {'bw': 23}, ((2, 5), (88, 4)): {'bw': 15}, ((2, 5), (4, 32)): {'bw': 15}, ((2, 6), (88, 94)): {'bw': 4}, ((3, 4), (39, 26)): {'bw': 5}, ((3, 5), (39, 26)): {'bw': 26}, ((3, 5), (26, 32)): {'bw': 26}, ((4, 6), (26, 94)): {'bw': 49}}",459.0,335.0,366.0,122.0,213,122.0,213,122.0,337,124,0.7298474945533769,93553.13566354699,68279.52167165194,148.75712782494975,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7298474945533769,0,8,10
5,4,3,1711.0,2435.0,284244.53774222714,408671.4273165321,0.7026694045174537,0.6955331807967787,15,5,1,134.0,40770,7097,33673,0.05284932603763515,0.03722659042172982,4,803.0426733390094,134.0,8,17,False,"{0: 32, 1: 0, 2: 98, 3: 40, 4: 26, 5: 65, 6: 55, 7: 25}","{(0, 1): [(32, 0)], (0, 3): [(32, 4), (4, 40)], (0, 4): [(32, 79), (79, 45), (45, 26)], (0, 5): [(32, 65)], (1, 3): [(0, 22), (22, 40)], (1, 5): [(0, 10), (10, 32), (32, 65)], (1, 6): [(0, 16), (16, 55)], (1, 7): [(0, 25)], (2, 3): [(98, 60), (60, 40)], (2, 5): [(98, 72), (72, 65)], (2, 6): [(98, 26), (26, 55)], (2, 7): [(98, 25)], (3, 5): [(40, 39), (39, 65)], (3, 6): [(40, 55)], (4, 6): []}","{(0, 32): {'cpu': 47}, (1, 0): {'cpu': 19}, (2, 98): {'cpu': 0}, (3, 40): {'cpu': 16}, (4, 26): {'cpu': 7}, (5, 65): {'cpu': 33}, (6, 55): {'cpu': 42}, (7, 25): {'cpu': 40}}","{((0, 1), (32, 0)): {'bw': 12}, ((0, 3), (32, 4)): {'bw': 6}, ((0, 3), (4, 40)): {'bw': 6}, ((0, 4), (32, 79)): {'bw': 50}, ((0, 4), (79, 45)): {'bw': 50}, ((0, 4), (45, 26)): {'bw': 50}, ((0, 5), (32, 65)): {'bw': 24}, ((1, 3), (0, 22)): {'bw': 8}, ((1, 3), (22, 40)): {'bw': 8}, ((1, 5), (0, 10)): {'bw': 46}, ((1, 5), (10, 32)): {'bw': 46}, ((1, 5), (32, 65)): {'bw': 46}, ((1, 6), (0, 16)): {'bw': 47}, ((1, 6), (16, 55)): {'bw': 47}, ((1, 7), (0, 25)): {'bw': 40}, ((2, 3), (98, 60)): {'bw': 34}, ((2, 3), (60, 40)): {'bw': 34}, ((2, 5), (98, 72)): {'bw': 47}, ((2, 5), (72, 65)): {'bw': 47}, ((2, 6), (98, 26)): {'bw': 6}, ((2, 6), (26, 55)): {'bw': 6}, ((2, 7), (98, 25)): {'bw': 46}, ((3, 5), (40, 39)): {'bw': 20}, ((3, 5), (39, 65)): {'bw': 20}, ((3, 6), (40, 55)): {'bw': 34}}",0,0,612.0,204.0,546,0,0,0,0,0,0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,[],0,0,8,15
6,5,4,2318.0,3530.0,606444.730859503,989905.7130882243,0.656657223796034,0.6126287815508893,16,6,1,162.0,39675,6903,32772,0.07874015748031493,0.06298784846318795,5,530.8075669147873,162.0,8,14,True,"{0: 40, 1: 32, 2: 62, 3: 26, 4: 86, 5: 98, 6: 5, 7: 55}","{(0, 6): [(40, 1), (1, 12), (12, 5)], (1, 4): [(32, 0), (0, 86)], (1, 5): [(32, 98)], (1, 6): [(32, 22), (22, 5)], (2, 5): [(62, 40), (40, 98)], (2, 6): [(62, 44), (44, 21), (21, 5)], (2, 7): [(62, 31), (31, 55)], (3, 4): [(26, 86)], (3, 5): [(26, 5), (5, 98)], (3, 7): [(26, 45), (45, 15), (15, 55)], (4, 5): [(86, 9), (9, 98)], (4, 7): [(86, 26), (26, 55)], (5, 6): [(98, 74), (74, 5)], (6, 7): [(5, 34), (34, 55)]}","{(0, 40): {'cpu': 28}, (1, 32): {'cpu': 31}, (2, 62): {'cpu': 42}, (3, 26): {'cpu': 10}, (4, 86): {'cpu': 15}, (5, 98): {'cpu': 6}, (6, 5): {'cpu': 45}, (7, 55): {'cpu': 17}}","{((0, 6), (40, 1)): {'bw': 42}, ((0, 6), (1, 12)): {'bw': 42}, ((0, 6), (12, 5)): {'bw': 42}, ((1, 4), (32, 0)): {'bw': 16}, ((1, 4), (0, 86)): {'bw': 16}, ((1, 5), (32, 98)): {'bw': 34}, ((1, 6), (32, 22)): {'bw': 17}, ((1, 6), (22, 5)): {'bw': 17}, ((2, 5), (62, 40)): {'bw': 20}, ((2, 5), (40, 98)): {'bw': 20}, ((2, 6), (62, 44)): {'bw': 21}, ((2, 6), (44, 21)): {'bw': 21}, ((2, 6), (21, 5)): {'bw': 21}, ((2, 7), (62, 31)): {'bw': 30}, ((2, 7), (31, 55)): {'bw': 30}, ((3, 4), (26, 86)): {'bw': 3}, ((3, 5), (26, 5)): {'bw': 44}, ((3, 5), (5, 98)): {'bw': 44}, ((3, 7), (26, 45)): {'bw': 49}, ((3, 7), (45, 15)): {'bw': 49}, ((3, 7), (15, 55)): {'bw': 49}, ((4, 5), (86, 9)): {'bw': 35}, ((4, 5), (9, 98)): {'bw': 35}, ((4, 7), (86, 26)): {'bw': 31}, ((4, 7), (26, 55)): {'bw': 31}, ((5, 6), (98, 74)): {'bw': 37}, ((5, 6), (74, 5)): {'bw': 37}, ((6, 7), (5, 34)): {'bw': 34}, ((6, 7), (34, 55)): {'bw': 34}}",1095.0,607.0,582.0,194.0,413,194.0,413,194.0,901,488,0.554337899543379,581234.2857716922,322200.1931172759,294.2467517052748,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.554337899543379,0,8,14
7,6,5,2811.0,4393.0,620872.3590505946,1015161.3786641108,0.6398816298656954,0.611599664939602,19,7,1,178.0,38812,6712,32100,0.1042306152408915,0.0822015725518227,6,29.26496590485112,178.0,8,16,True,"{0: 39, 1: 81, 2: 4, 3: 32, 4: 94, 5: 16, 6: 26, 7: 0}","{(0, 3): [(39, 26), (26, 32)], (0, 4): [(39, 65), (65, 94)], (0, 5): [(39, 16)], (0, 7): [(39, 7), (7, 10), (10, 0)], (1, 3): [(81, 4), (4, 20), (20, 32)], (1, 5): [(81, 4), (4, 16)], (2, 3): [(4, 32)], (2, 4): [(4, 88), (88, 94)], (2, 5): [(4, 16)], (2, 7): [(4, 16), (16, 0)], (3, 4): [(32, 26), (26, 94)], (3, 6): [(32, 26)], (4, 5): [(94, 67), (67, 16)], (4, 7): [(94, 5), (5, 13), (13, 0)], (5, 6): [(16, 35), (35, 26)], (6, 7): [(26, 96), (96, 0)]}","{(0, 39): {'cpu': 22}, (1, 81): {'cpu': 11}, (2, 4): {'cpu': 6}, (3, 32): {'cpu': 38}, (4, 94): {'cpu': 15}, (5, 16): {'cpu': 47}, (6, 26): {'cpu': 4}, (7, 0): {'cpu': 48}}","{((0, 3), (39, 26)): {'bw': 28}, ((0, 3), (26, 32)): {'bw': 28}, ((0, 4), (39, 65)): {'bw': 31}, ((0, 4), (65, 94)): {'bw': 31}, ((0, 5), (39, 16)): {'bw': 5}, ((0, 7), (39, 7)): {'bw': 14}, ((0, 7), (7, 10)): {'bw': 14}, ((0, 7), (10, 0)): {'bw': 14}, ((1, 3), (81, 4)): {'bw': 23}, ((1, 3), (4, 20)): {'bw': 23}, ((1, 3), (20, 32)): {'bw': 23}, ((1, 5), (81, 4)): {'bw': 11}, ((1, 5), (4, 16)): {'bw': 11}, ((2, 3), (4, 32)): {'bw': 1}, ((2, 4), (4, 88)): {'bw': 7}, ((2, 4), (88, 94)): {'bw': 7}, ((2, 5), (4, 16)): {'bw': 10}, ((2, 7), (4, 16)): {'bw': 44}, ((2, 7), (16, 0)): {'bw': 44}, ((3, 4), (32, 26)): {'bw': 0}, ((3, 4), (26, 94)): {'bw': 0}, ((3, 6), (32, 26)): {'bw': 0}, ((4, 5), (94, 67)): {'bw': 48}, ((4, 5), (67, 16)): {'bw': 48}, ((4, 7), (94, 5)): {'bw': 47}, ((4, 7), (5, 13)): {'bw': 47}, ((4, 7), (13, 0)): {'bw': 47}, ((5, 6), (16, 35)): {'bw': 6}, ((5, 6), (35, 26)): {'bw': 6}, ((6, 7), (26, 96)): {'bw': 27}, ((6, 7), (96, 0)): {'bw': 27}}",863.0,493.0,573.0,191.0,302,191.0,302,191.0,672,370,0.5712630359212051,25255.665575886516,14427.628191091602,16.717993268935807,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.5712630359212051,0,8,16
7,6,4,2811.0,4393.0,620872.3590505946,1015161.3786641108,0.6398816298656954,0.611599664939602,19,8,0,207.26496590485112,39675,6903,32772,0.07874015748031493,0.06298784846318795,6,29.26496590485112,178.0,8,16,False,{},{},{},{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[]
7,6,3,2811.0,4393.0,620872.3590505946,1015161.3786641108,0.6398816298656954,0.611599664939602,19,9,0,208.19113463542968,40363,7049,33314,0.059255304951287835,0.04749106504646172,0,184.19113463542968,24.0,8,14,False,{},{},{},{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[]
